Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature,Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2014,12,02,33.0,1,N
IDCJAC0010,070351,2014,12,03,31.8,1,N
IDCJAC0010,070351,2014,12,04,28.2,1,N
IDCJAC0010,070351,2014,12,05,28.4,1,N
IDCJAC0010,070351,2014,12,06,22.6,1,N
IDCJAC0010,070351,2014,12,07,27.5,1,N
IDCJAC0010,070351,2014,12,08,29.1,1,N
IDCJAC0010,070351,2014,12,09,29.4,1,N
IDCJAC0010,070351,2014,12,10,30.8,1,N
IDCJAC0010,070351,2014,12,11,22.6,1,N
IDCJAC0010,070351,2014,12,12,22.2,1,N
IDCJAC0010,070351,2014,12,13,22.5,1,N
IDCJAC0010,070351,2014,12,14,28.1,1,N
IDCJAC0010,070351,2014,12,15,30.8,1,N
IDCJAC0010,070351,2014,12,16,32.6,1,N
IDCJAC0010,070351,2014,12,17,25.9,1,N
IDCJAC0010,070351,2014,12,18,27.4,1,N
IDCJAC0010,070351,2014,12,19,25.3,1,N
IDCJAC0010,070351,2014,12,20,27.4,1,N
IDCJAC0010,070351,2014,12,21,30.2,1,N
IDCJAC0010,070351,2014,12,22,30.8,1,N
IDCJAC0010,070351,2014,12,23,29.0,1,N
IDCJAC0010,070351,2014,12,24,24.9,1,N
IDCJAC0010,070351,2014,12,25,27.0,1,N
IDCJAC0010,070351,2014,12,26,24.6,1,N
IDCJAC0010,070351,2014,12,27,22.7,1,N
IDCJAC0010,070351,2014,12,28,26.7,1,N
IDCJAC0010,070351,2014,12,29,29.7,1,N
IDCJAC0010,070351,2014,12,30,25.0,1,N
IDCJAC0010,070351,2014,12,31,29.2,1,N
